,username,password,apple,apricot,banana,bean,beef,bread,broccoli,butter,cabbage,carrot,cauliflower,celery,chicken,chilli,chocolate,cookie,corn,cucumber,egg,eggplant,fig,fish,garlic,grape,ham,icecream,kiwi,lamb,lemon,lettuce,lime,mango,milk,mushroom,onion,orange,pea,pear,pineapple,pork,potato,pumpkin,radish,rib,rice,salmon,sausage,spinach,spring onion,strawberry,sweet potato,tofu,tomato,watermelon,zucchini
64,TEST065,TEST065,4,7,1,10,4,5,7,9,9,7,1,9,6,5,1,4,3,2,2,2,7,1,5,0,2,7,3,10,8,9,5,1,0,5,3,0,5,1,2,5,0,5,6,4,1,3,0,8,3,2,8,7,3,2,9
65,TEST066,TEST066,5,5,9,7,1,6,1,7,8,7,10,9,4,7,7,10,10,4,5,9,4,8,9,5,0,3,8,2,3,0,0,5,6,7,2,6,6,0,3,9,3,9,9,10,8,4,7,2,2,3,0,7,8,3,5
66,TEST067,TEST067,6,7,6,7,4,10,6,8,8,2,4,5,10,0,4,0,9,6,3,8,10,3,7,10,3,10,4,10,7,5,3,0,5,8,10,7,5,5,9,10,6,3,4,7,8,1,4,1,0,10,10,5,0,4,6
67,TEST068,TEST068,6,10,2,1,9,7,9,6,0,10,4,8,6,3,5,5,5,5,10,7,2,4,5,10,7,3,6,3,1,1,7,5,9,2,9,5,4,9,6,7,6,2,4,7,3,1,6,4,4,9,7,1,5,0,7
68,TEST069,TEST069,7,4,8,1,2,1,5,6,7,1,6,4,10,1,9,8,0,7,8,7,7,4,2,6,1,3,10,4,4,2,0,3,4,7,1,8,2,3,2,2,10,1,8,0,6,7,10,10,8,3,1,0,6,10,3
69,TEST070,TEST070,5,8,10,8,7,7,3,7,6,4,10,4,7,10,10,7,7,6,5,8,0,10,8,0,9,10,4,9,6,3,6,9,6,2,4,0,2,4,2,1,5,1,8,4,10,2,2,5,3,3,5,5,5,1,7
70,TEST071,TEST071,8,10,0,6,7,7,5,6,10,10,9,0,8,7,4,10,10,1,4,8,5,1,8,3,3,9,10,3,1,10,5,3,4,2,10,6,4,9,6,4,3,10,3,6,2,1,7,6,3,9,3,8,6,9,5
71,TEST072,TEST072,3,7,9,1,2,8,2,7,8,9,6,6,2,7,3,9,10,6,9,6,10,8,8,6,10,7,1,9,0,5,2,9,0,5,3,5,10,7,7,2,4,5,3,6,6,9,4,0,1,0,0,5,1,1,5
72,TEST073,TEST073,7,9,0,4,4,4,5,7,5,6,2,3,6,2,7,0,3,8,7,3,7,5,4,10,4,9,2,3,3,0,2,6,8,2,6,0,5,8,0,10,10,0,0,8,2,2,7,1,7,9,10,1,0,6,5
73,TEST074,TEST074,4,2,9,8,5,2,0,5,4,3,4,8,5,5,9,1,3,7,5,3,0,2,6,4,0,9,8,6,5,5,3,1,8,0,6,0,5,8,3,10,9,2,2,3,2,4,1,6,9,6,9,6,6,0,10
74,TEST075,TEST075,5,9,2,3,5,6,6,3,8,8,7,0,4,8,7,8,7,4,6,4,7,7,10,9,1,1,4,4,3,1,4,2,6,6,10,5,2,6,8,8,4,1,0,3,10,2,6,3,9,3,9,8,9,4,2
75,TEST076,TEST076,7,0,3,9,4,5,6,0,8,9,9,7,2,7,1,4,2,0,0,0,0,2,2,8,8,6,3,8,6,5,3,1,7,10,10,8,4,7,4,10,10,6,2,3,7,9,4,5,1,8,8,7,3,8,9
76,TEST077,TEST077,4,3,8,5,10,4,9,2,2,9,9,8,9,2,2,10,1,7,2,6,10,8,1,5,3,0,4,1,7,8,7,6,4,5,9,9,7,3,7,3,0,5,10,2,1,5,6,3,5,9,7,5,9,1,6
77,TEST078,TEST078,3,5,8,6,6,1,7,2,3,0,0,4,2,3,2,9,6,3,2,6,3,7,1,9,9,1,7,1,3,1,6,1,2,4,9,1,1,1,10,0,2,10,7,1,7,4,10,1,1,5,3,4,8,10,7
78,TEST079,TEST079,0,4,2,5,0,6,8,9,7,9,3,2,2,2,10,5,6,4,3,10,1,5,0,10,9,9,0,10,0,2,4,5,0,5,2,0,3,0,0,8,3,6,5,5,0,2,6,6,9,1,8,0,4,6,8
79,TEST080,TEST080,5,4,6,1,6,6,2,9,3,1,9,2,0,5,8,10,1,8,4,4,5,3,9,1,8,4,3,2,9,1,8,4,1,8,0,0,2,10,3,8,1,6,2,6,7,7,0,5,6,6,0,1,9,4,5
80,TEST081,TEST081,9,5,10,8,9,3,5,2,1,7,5,1,6,0,2,6,1,9,9,2,0,10,4,8,1,9,3,10,6,1,5,2,0,2,3,1,6,3,1,5,1,0,9,9,2,7,4,8,5,4,1,10,9,7,6
81,TEST082,TEST082,2,9,1,6,6,1,4,2,0,1,4,9,1,4,7,0,4,10,4,1,7,3,3,2,4,9,9,6,2,9,4,4,0,7,0,6,9,5,8,8,2,2,0,5,8,1,3,3,1,7,6,5,1,6,7
82,TEST083,TEST083,9,7,4,2,7,6,6,7,8,3,0,9,5,3,2,10,8,1,3,8,4,7,7,10,5,9,2,4,7,1,5,9,8,8,2,3,2,9,3,7,8,7,6,7,1,10,1,2,9,1,9,5,2,7,6
83,TEST084,TEST084,2,9,8,7,0,3,2,3,0,2,5,0,1,1,4,10,0,7,1,3,4,3,8,0,6,9,2,5,1,7,4,1,7,4,3,9,7,9,6,8,4,4,3,2,10,4,8,9,1,6,8,1,0,10,0
84,TEST085,TEST085,4,9,5,7,2,9,5,1,8,6,8,5,2,2,2,6,3,0,1,5,6,1,8,10,6,6,5,4,6,4,4,3,5,9,10,4,4,5,5,0,1,6,3,3,2,0,4,4,10,5,1,5,7,0,8
85,TEST086,TEST086,8,4,5,10,10,7,9,8,9,2,7,6,3,9,6,6,5,8,1,8,6,2,2,5,6,1,9,6,2,2,5,9,6,0,1,9,10,10,1,1,1,9,10,2,3,0,8,6,2,0,2,8,4,4,6
86,TEST087,TEST087,2,10,6,6,9,0,3,10,7,1,0,2,2,3,1,8,0,0,1,1,10,1,9,0,8,7,7,4,4,5,8,9,2,1,6,6,3,7,7,7,9,10,1,5,2,9,3,8,8,7,7,9,8,10,2
87,TEST088,TEST088,9,0,5,7,0,0,4,2,3,2,7,8,7,3,10,1,6,6,4,9,0,10,0,1,3,6,3,8,9,6,10,9,5,9,2,8,6,1,9,4,7,8,1,5,2,1,4,3,0,0,0,0,5,10,10
88,TEST089,TEST089,7,0,7,7,9,1,7,0,9,2,10,0,5,3,2,7,6,9,8,1,4,4,10,4,3,4,5,0,5,0,7,9,0,2,8,8,4,0,5,5,4,9,0,2,0,10,1,5,4,1,2,3,7,2,5
89,TEST090,TEST090,8,1,10,6,6,8,3,10,6,4,1,4,6,7,3,8,2,10,10,10,4,5,10,10,9,2,5,4,3,8,4,9,1,6,5,7,3,2,7,2,6,7,8,3,1,5,7,9,0,6,5,5,9,2,5
90,TEST091,TEST091,1,5,9,4,2,7,4,8,9,3,5,6,8,8,5,4,5,3,6,6,3,7,10,2,0,8,10,1,7,7,0,10,0,9,0,0,5,10,6,4,4,7,4,2,10,7,3,5,0,10,9,7,8,4,7
91,TEST092,TEST092,4,0,2,1,8,3,10,1,0,6,10,1,5,10,3,9,8,3,2,9,9,3,0,1,3,2,1,4,2,7,5,8,2,5,2,8,8,0,10,10,10,3,7,10,10,7,5,6,4,2,10,8,1,2,1
92,TEST093,TEST093,2,8,6,10,0,3,4,5,4,1,4,2,9,10,10,8,5,4,1,10,7,5,3,7,8,5,7,7,5,3,10,0,7,5,3,2,5,10,5,2,6,10,8,0,5,6,7,3,9,0,1,4,3,0,1
93,TEST094,TEST094,0,4,6,6,10,6,1,6,8,7,3,0,7,10,10,10,10,2,8,1,8,4,3,6,3,8,7,10,10,8,9,1,4,9,0,10,6,2,4,1,7,9,1,2,0,2,1,8,1,6,8,7,8,10,7
94,TEST095,TEST095,5,7,7,5,7,2,2,2,6,9,4,3,4,5,4,6,3,1,3,10,2,9,7,4,7,7,1,5,8,0,0,9,7,2,8,1,4,1,9,6,4,6,7,7,10,10,7,4,1,0,1,2,9,5,10
95,TEST096,TEST096,7,0,8,5,1,1,6,0,8,5,1,1,6,1,5,3,7,8,8,10,5,1,4,6,10,6,2,9,3,2,0,2,3,7,7,10,6,9,6,2,4,4,5,4,6,5,9,2,0,7,7,1,1,4,10
96,TEST097,TEST097,3,7,3,7,7,8,9,6,3,6,4,1,6,2,1,8,5,7,7,0,5,8,10,8,2,1,6,8,2,1,10,5,8,5,4,0,7,6,6,3,8,3,3,9,8,0,3,7,10,7,10,6,3,1,10
97,TEST098,TEST098,5,3,7,1,1,0,0,5,5,1,9,10,2,10,8,4,3,10,8,9,10,2,2,0,1,4,4,0,7,9,8,9,9,4,4,1,7,4,0,1,5,3,7,8,7,5,8,7,6,5,2,8,10,6,2
98,TEST099,TEST099,10,8,5,7,6,1,8,4,1,8,0,0,6,8,9,8,8,1,2,7,8,10,0,9,7,2,7,3,7,5,8,8,3,1,0,7,2,7,6,3,6,4,6,2,8,4,6,1,9,2,8,10,0,10,9
99,TEST100,TEST100,1,0,1,2,4,5,0,0,8,8,9,8,2,8,2,4,4,4,7,2,8,1,1,3,3,7,2,3,9,5,0,1,2,2,4,2,1,8,8,6,6,10,10,1,8,10,6,0,4,2,6,10,3,0,4
100,TEST101,TEST101,6,10,10,2,1,1,2,3,6,5,7,2,2,5,4,8,8,5,7,8,4,3,10,4,6,0,3,5,6,2,0,10,4,2,7,6,9,7,7,5,6,5,5,0,8,7,8,7,6,9,6,10,7,8,4
101,TEST102,TEST102,7,8,10,9,7,10,0,3,2,9,0,1,4,1,1,0,7,8,9,7,5,9,2,8,9,5,1,1,7,7,2,10,4,10,8,4,1,8,0,3,4,2,3,7,5,0,8,4,10,8,10,10,8,2,9
102,TEST103,TEST103,3,1,9,8,1,7,5,10,1,10,5,5,7,8,1,3,2,8,5,4,4,7,1,4,3,0,8,8,7,0,3,1,8,7,6,6,8,4,5,6,8,5,6,0,0,1,7,0,6,7,10,8,5,0,4
103,TEST104,TEST104,6,4,3,8,6,7,8,2,4,10,3,9,3,8,0,3,2,2,6,3,2,0,6,9,4,10,6,1,7,2,6,8,7,10,4,10,5,1,9,6,10,3,4,9,9,9,9,10,4,9,7,1,2,1,4
104,TEST105,TEST105,6,0,9,3,9,2,5,4,5,5,4,2,9,5,1,3,9,2,0,5,9,8,8,9,9,6,7,0,2,6,10,1,9,5,0,9,9,3,1,6,7,3,6,10,1,2,8,10,2,3,9,9,3,7,3
105,TEST106,TEST106,3,7,7,0,9,10,6,1,3,6,7,4,0,8,3,3,2,0,1,5,2,2,10,7,4,9,3,5,8,0,6,4,8,10,8,5,2,7,4,9,9,5,4,7,2,9,3,2,9,1,10,4,5,5,8
106,TEST107,TEST107,10,3,5,1,10,0,10,9,0,8,1,7,1,10,5,10,0,9,10,4,4,7,2,4,10,9,8,8,10,3,3,10,2,5,3,4,8,4,6,4,6,6,9,0,5,1,4,6,6,0,9,7,6,10,7
107,TEST108,TEST108,2,2,6,2,2,6,7,9,9,6,4,1,5,3,1,0,6,0,7,1,0,3,1,2,5,4,7,6,1,1,1,8,0,0,5,5,10,10,5,1,7,8,0,3,8,1,0,1,10,0,10,8,10,6,8
108,TEST109,TEST109,1,10,7,2,7,1,6,3,0,10,10,4,3,6,6,5,2,1,4,9,0,1,10,9,10,4,6,8,4,7,7,4,1,4,2,0,4,1,8,8,10,2,8,7,4,6,1,4,3,5,0,6,3,9,4
109,TEST110,TEST110,9,7,8,8,6,8,9,1,4,6,7,10,1,9,6,6,7,1,5,6,3,1,10,5,1,7,6,10,2,3,5,6,0,8,1,2,9,3,3,6,0,9,8,7,8,9,2,1,5,10,9,9,7,3,3
110,TEST111,TEST111,10,4,2,3,4,9,0,1,8,8,5,7,10,7,7,5,6,4,3,9,2,5,3,2,0,4,5,0,1,8,10,2,9,4,3,8,1,2,4,10,8,8,0,2,0,1,6,8,1,2,5,1,3,10,8
